id,battle_name,year,country,front,dead_count,battle_siege,lat,long,descrip,srcP
1,Battle of Berlin,1945,Germany,,1298745,1,52.520008,13.404954,"The Battle ofa Berlin, designated the Berlin Strategic Offensive Operation by the Soviet Union, and also known as the Fall of Berlin, was one of the last major offensives of the European theatre of World War II.",https://upload.wikimedia.org/wikipedia/commons/f/f9/Bundesarchiv_B_145_Bild-P054320%2C_Berlin%2C_Brandenburger_Tor_und_Pariser_Platz.jpg
2,Battle of Okinawa,1945,Japan,,82000,1,26.501301,127.945404,"The Battle of Okinawa, codenamed Operation Iceberg,[19] was a major battle of the Pacific War fought on the island of Okinawa by United States Marine and Army forces against the Imperial Japanese Army",https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Ww2_158.jpg/800px-Ww2_158.jpg
3,Battle of Manila,1945,Philippines,,500000,1,14.599512,120.984222,"The Battle of Manila was a major battle of the Philippine campaign of 1944-45, during the Second World War. It was fought by American forces from both the U.S. mainland and the Philippines against Japanese troops in Manila, the capital city of the Philippines.",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Manila_Walled_City_Destruction_May_1945.jpg/800px-Manila_Walled_City_Destruction_May_1945.jpg
4,Warsaw Uprising,1944,Poland,,200000,1,52.229675,21.012230,"The Warsaw Uprising was a major World War II operation, in the summer of 1944, by the Polish underground resistance, led by the Home Army, to liberate Warsaw from German occupation.",https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Warsaw_1944.jpg/800px-Warsaw_1944.jpg
5,Siege of Budapest,1944-1945,Hungary,,422000,1,47497.913,19.040236,"The Siege of Budapest or Battle of Budapest was the 50-day-long encirclement by Soviet forces of the Hungarian capital of Budapest, near the end of World War II.",https://upload.wikimedia.org/wikipedia/commons/0/01/Bundesarchiv_Bild_146-1986-064-15%2C_Ungarn%2C_Stra%C3%9Fenk%C3%A4mpfe%2C_ungarische_Pak.jpg
6,Battle of Normandy,1944,France,,795000,1,49.359610,-0.878130,"Operation Overlord was the codename for the Battle of Normandy, the Allied operation that launched the successful invasion of German-occupied Western Europe during World War II. The operation was launched on 6 June 1944 with the Normandy landings (Operation Neptune, commonly known as D-Day). A 1,200-plane airborne assault preceded an amphibious assault involving more than 5,000 vessels. Nearly 160,000 troops crossed the English Channel on 6 June, and more than two million Allied troops were in France by the end of August.",https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/NormandySupply_edit.jpg/800px-NormandySupply_edit.jpg
7,Battle of the Bulge,1944-1945,Belgium,,200000,1,50.424641,6.028328,"The Battle of the Bulge, also known as the Ardennes Counteroffensive, took place from 16 December 1944 to 25 January 1945, and was the last major German offensive campaign on the Western Front during World War II.",https://upload.wikimedia.org/wikipedia/commons/7/70/117th_Infantry_North_Carolina_NG_at_St._Vith_1945.jpg
8,Battle of Changde,1943,China,,100000,1,29.031940,111.678101,"The Battle of Changde was a major engagement in the Second Sino-Japanese War in and around the Chinese city of Changde in the province of Hunan. During the battle, the Imperial Japanese Army extensively used chemical weapons. The purpose of the Japanese offensive was not to hold the city, but to maintain pressure on the Chinese National Revolutionary Army to reduce their combat ability in the region, and their ability to reinforce the Burma Campaign",https://upload.wikimedia.org/wikipedia/commons/3/34/Changde_battle.jpg
9,Battle of West Hubei,1943,China,,115830,1,30.737812,112.238403,"The Battle of West Hubei, was one of 22 major engagements between the National Revolutionary Army and Imperial Japanese Army during the Second Sino-Japanese War. It was also one of four major battles that took place in Hubei. It resulted in a Chinese strategic victory, although they lost more troops than the Japanese Army. ",https://upload.wikimedia.org/wikipedia/commons/9/9b/Battle_of_West_Hubei.jpg
10,Third Battle of Changsha,1942,China,,84862,1,28.228209,112.938812,"The third Battle of Changsha (24 December 1941 – 15 January 1942) was the first major offensive in China by Imperial Japanese forces following the Japanese attack on the Western Allies. The offensive resulted in failure for the Japanese, as Chinese forces were able to lure them into a trap and encircle them. After suffering heavy casualties, Japanese forces were forced to carry out a general retreat.",https://upload.wikimedia.org/wikipedia/commons/8/8a/Battle_of_Changsha.jpg
